Metric,System Boundary,Source Category,Source Detail,CO2_fossil,CO2_biogenic,CH4_fossil,CH4_biogenic,N2O,NF3,SF6,MJ,Unit,Subregion,MJ/unit,Notes,Nprop,P fraction,P2O5 fraction,S fraction,NO3 fraction,NH4 fraction,Urea fraction,NH3 fraction,Ca fraction,K fraction,FR_sn
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,20168.08442,MWh,AKGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,12721.68093,MWh,AKMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,20231.40153,MWh,AZNM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,20202.42844,MWh,CAMX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,19722.4185,MWh,ERCT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,19927.70942,MWh,FRCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,24639.07768,MWh,HIMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,27181.92176,MWh,HIOA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,27606.16634,MWh,MROE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,22425.36437,MWh,MROW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy Use,Upstream,Energy use associated with electricity generation and distribution,Irrigation Operations | Electricity (grid),0,NA,0,0,0,0,0,19822.80884,MWh,NEWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
